time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
9.096277,0.646309,0.013243,0.176466
9.136291,0.481873,-0.020953,0.057600
9.166326,0.018323,0.052436,0.064797
9.196306,-0.225735,0.184422,0.003147
9.226314,-0.430196,0.204660,-0.060524
9.256334,-0.732669,0.402924,0.061895
9.296368,-1.872666,0.538966,0.013100
9.336384,-2.518412,0.797830,-0.175349
9.366395,-2.525626,0.604728,-0.456486
9.406401,-3.109578,0.288899,-0.132275
9.436423,-1.948108,0.035956,0.323808
9.466435,-1.595120,-0.535704,0.228575
9.496446,-2.071466,-0.237768,0.190991
9.536460,-1.798948,-0.428897,-0.417324
9.566448,-1.435312,0.008073,0.070791
9.596483,-1.279725,-0.147819,0.062773
9.636498,-1.165624,0.215540,0.046228
9.656506,-1.354405,0.000999,-0.142997
9.696523,-1.457857,0.115068,-0.031474
9.716528,-1.532391,0.058863,-0.004951
9.766525,-1.720059,-0.057799,-0.321042
9.806558,-2.208988,0.085554,0.061751
9.836557,-2.204546,-0.287536,0.125046
9.866586,-1.953874,-0.339981,0.146700
9.896586,-2.378655,-0.030929,-0.046944
9.936614,-2.458039,0.230702,-0.737691
9.966623,-1.943646,0.138542,0.382073
9.996634,-2.114800,-0.483714,0.222550
10.036619,-2.590358,-0.213829,-0.789665
10.066665,-2.667903,0.965199,-0.646724
10.106678,-1.727409,-0.168239,0.500012
10.136690,-2.057732,-0.428621,-0.162395
10.166702,-2.526137,0.299714,-0.240930
10.196714,-2.543846,0.561993,-0.029794
10.236711,-2.306384,-0.344664,-0.080310
10.266736,-2.368653,-0.058074,-0.082528
10.296730,-2.322296,0.458955,-0.056963
10.326758,-2.179933,0.231714,-0.004636
10.366781,-2.109251,0.092681,-0.026266
10.396776,-2.009057,0.284035,-0.097053
10.426802,-1.692903,0.146187,-0.119439
10.466813,-1.540753,0.145238,0.063633
10.496804,-1.604744,0.348317,-0.059236
10.526834,-1.683395,0.508396,-0.092525
10.566856,-1.256067,0.220728,-0.044174
10.606873,-1.082754,0.107416,0.171939
10.626879,-0.856432,-0.148993,0.632186
10.666868,-1.043499,-0.132945,-0.071734
10.696907,-1.116416,0.066460,0.047783
10.726917,-1.028894,0.019027,0.323503
10.756930,-1.179966,-0.053817,0.155020
10.796943,-1.036470,0.195582,-0.003972
10.826956,-0.859287,0.382899,-0.421426
10.856967,-0.627512,0.207137,0.209406
10.896956,-0.941112,0.071355,-0.151849
10.926983,-0.791224,-0.141008,0.191081
10.966997,-0.727279,0.168833,-0.397580
10.996996,-0.456107,0.156880,-0.011456
11.027027,-0.388337,-0.082157,0.163926
11.067026,-0.482442,0.323798,-0.271070
11.087056,-0.307311,0.075881,0.104199
11.127076,-0.413398,-0.054014,-0.085492
11.167088,-0.616237,0.215421,-0.055224
11.197098,-0.272855,-0.103674,-0.000108
11.227110,-0.100388,-0.339716,0.222242
11.267126,-0.216125,-0.045487,0.048889
11.297117,-0.007564,-0.085988,-0.170686
11.327150,0.102963,-0.028995,0.117626
11.357161,-0.023796,-0.012219,-0.259734
11.387173,0.371478,-0.099414,0.063465
11.427186,0.512588,-0.346113,-0.365246
11.457197,1.087363,-0.971262,-0.520763
11.487209,1.101088,-0.991023,-0.407324
11.527204,0.478547,0.496943,0.863690
11.567238,0.504474,-0.493168,-0.873109
11.597254,0.426810,0.353881,0.360103
11.627265,0.537669,0.206192,0.359628
11.667278,0.676398,0.175673,-0.192701
11.697290,0.972464,-0.287808,-0.053107
11.727299,1.016783,-0.046508,0.225775
11.767316,1.260552,-0.049453,0.286620
11.797327,0.889834,0.362562,0.284235
11.827314,0.874887,0.360695,0.190600
11.867328,1.166272,0.004266,-0.054925
11.897353,1.349483,0.085124,0.087158
11.937368,1.837201,0.258419,-0.149408
11.957391,1.219213,-0.510022,-0.730087
11.997384,1.419302,0.066565,0.422944
12.027413,1.796851,0.523962,0.192566
12.067433,1.469751,-0.559633,-0.897673
12.097444,1.159962,-0.206176,-0.317239
12.127467,1.806258,-0.014175,0.526119
12.167484,1.736699,-0.478749,-0.232278
12.197495,0.989440,0.196000,0.045187
12.227507,1.049924,-0.165188,-0.169855
12.257519,1.213339,0.019838,0.415460
12.297532,0.865437,0.438284,0.062284
12.327544,0.701700,0.213841,-0.383385
12.357556,1.227202,0.032001,0.106239
12.397548,1.025761,0.104255,-0.154267
12.427583,1.091790,0.031769,0.149678
12.467600,1.570992,0.521423,0.147592
12.497610,0.831164,0.448878,-0.015191
12.527616,0.642792,0.398352,0.023002
12.567612,0.699712,0.434603,-0.243185
12.587644,0.724818,0.328241,-0.182379
12.637664,0.560162,0.122737,-0.041743
12.667676,0.714613,0.072651,-0.065884
12.697687,0.717624,0.022130,-0.038102
12.727699,0.440925,-0.073495,-0.078476
12.767715,0.166623,-0.146071,0.051729
12.797727,0.093927,-0.144459,-0.007879
12.827738,0.069591,-0.010695,-0.046908
12.857750,-0.184713,-0.059466,-0.004505
12.887761,0.058204,-0.103214,0.145978
12.927773,-0.005470,-0.179987,0.054092
12.957783,-0.111438,-0.126582,0.014545
12.997776,-0.192404,0.080916,0.089538
13.017804,-0.395802,0.070577,-0.068280
13.067808,-0.738882,-0.040795,-0.359995
13.107832,-0.412970,-0.030493,-0.231812
13.127853,-0.055424,0.013404,0.012945
13.167866,0.215983,-0.171899,0.011962
13.197865,0.195422,-0.083100,0.128431
13.237895,0.239069,-0.150990,-0.166283
13.267907,0.283427,-0.058972,0.040714
13.297918,0.424289,-0.037122,-0.020397
13.327930,0.184239,-0.084757,-0.120458
13.367947,0.221325,-0.026330,-0.022561
13.397957,0.355878,0.079662,-0.007683
13.427969,0.308566,0.185630,0.021870
13.457980,0.472479,0.305110,0.071062
13.497994,0.294596,0.252742,0.022031
13.528007,0.294806,0.143288,-0.074639
13.568018,0.540681,-0.271755,-0.123500
13.588030,0.491959,-0.176361,0.041977
13.628015,0.258095,-0.306800,-0.223377
13.668062,0.485014,-0.193880,-0.000893
13.698072,0.311842,-0.072694,-0.030757
