time_tick,gyr_X_value,gyr_Y_value,gyr_Z_value
12.274268,-1.472300,-0.077922,0.674257
12.304277,-0.900751,-0.084312,0.286648
12.334285,0.174197,-0.184021,-0.758244
12.374300,0.870062,-0.523113,-1.676136
12.404311,-0.571683,-0.053638,-0.089923
12.434320,-1.515260,-0.303263,0.967804
12.464330,-1.126439,-0.200531,0.854241
12.504341,-0.258058,-0.214021,-0.673163
12.534351,0.114627,0.016997,-1.098088
12.564361,-0.551124,0.291300,-0.401491
12.604351,-0.929287,0.488595,0.046235
12.634384,-1.142348,0.387939,0.219594
12.674398,-1.360929,0.016729,0.370929
12.714408,-1.113851,-0.269727,0.280845
12.734397,-0.669545,-0.159983,0.144080
12.764398,-0.780997,-0.331704,-0.031502
12.794421,-0.456030,-0.230485,-0.135596
12.834422,-0.403627,-0.074000,-0.100739
12.874462,-0.673787,-0.002905,-0.092295
12.904472,-0.837713,0.058144,0.122395
12.934481,-0.176358,0.069377,0.081899
12.974495,-1.029665,-0.308752,0.065406
13.004504,-0.944326,-0.277475,-0.073227
13.034515,-0.993396,-0.053307,-0.104233
13.064524,-0.115993,0.229227,-0.034181
13.094517,0.015187,0.405994,-0.117962
13.134545,0.012705,0.457455,0.005282
13.164555,-0.405561,0.515944,-0.046232
13.204542,-1.258368,0.334499,0.048320
13.224575,-1.235579,0.165800,0.140937
13.274593,-0.953139,0.154449,0.063425
13.314604,-2.247516,-0.258448,0.162754
13.334612,-2.188711,-0.202462,0.217030
13.374622,-2.376315,-0.549941,0.146580
13.404630,-2.269329,-0.670806,0.205086
13.434623,-2.675702,-1.042684,0.127550
13.464640,-1.413904,-0.931941,-0.242201
13.504667,-2.414506,-0.703911,0.375519
13.524672,-2.459813,-0.843288,0.268672
13.574687,-1.109338,-0.404761,0.184770
13.594695,-1.664353,-0.306874,0.093414
13.634692,-1.417551,-0.087676,-0.080904
13.664698,-1.889356,0.008491,-0.102008
13.694720,-0.798047,0.286713,0.039465
13.734729,-0.763284,0.469471,-0.475012
13.774754,-0.705983,1.157814,-0.919499
13.804764,-1.229988,1.240889,-0.723963
13.844754,-0.696599,1.635241,0.100673
13.874775,-0.544394,0.836950,0.049934
13.904797,-0.831687,0.106705,-0.056422
13.934806,0.680980,-0.365996,-0.407955
13.964816,-0.301525,-0.474324,-0.323900
14.004827,-0.702371,-0.147657,0.734481
14.034838,-0.081298,-0.453710,0.149970
14.064847,-0.104617,-0.792812,-0.284895
14.094857,0.400866,-0.620928,-0.492753
14.134872,0.094825,0.556517,-0.245890
14.164880,-0.769033,-0.238252,0.425393
14.204894,-0.281050,-0.006179,0.251594
14.234904,0.304006,0.260317,-0.267074
14.264912,0.395937,0.371104,-0.443577
14.304911,0.713814,0.322301,-0.145282
14.334910,0.830817,0.133841,0.086391
14.364939,0.962156,-0.070664,-0.029962
14.404958,2.283127,-0.127272,-0.029469
14.434968,1.620535,-0.856564,-0.319157
14.464978,2.277505,-0.626664,-0.293935
14.504972,3.115385,-0.559839,-0.358721
14.535000,2.778012,-0.884747,0.365464
14.565012,1.713061,-0.630603,0.429538
14.595020,2.694565,-0.503378,0.436224
14.635032,4.571093,0.330573,0.462337
14.665043,2.297104,0.659488,0.488102
14.695052,2.178187,0.564281,0.399000
14.735060,2.313941,0.301814,0.380481
14.775076,1.509381,0.251108,0.305229
14.805089,0.869453,0.192083,0.339549
14.835098,0.670434,0.308819,0.242575
14.865108,0.999571,0.346378,0.260668
14.905120,1.258127,0.172426,-1.142801
14.945131,1.393991,-0.062327,-0.875805
14.965139,0.496335,-0.078284,-0.595333
15.005148,-0.984586,0.014426,0.858381
15.035161,0.019873,0.411208,0.745655
15.065169,0.691589,-0.253006,-0.330349
15.105182,0.898339,-0.553858,-0.824854
15.135196,0.522268,-0.287686,-0.489640
15.165204,0.314630,-0.403764,-0.423968
15.195208,0.127010,-0.235665,-0.102046
15.235209,-0.137429,-0.080771,0.151482
15.275241,-0.350967,-0.099911,0.150880
15.305250,0.287830,-0.137904,0.043514
15.335260,0.377542,-0.092783,0.192271
15.365264,0.312853,-0.089514,0.380485
15.405284,0.360459,0.040126,0.070286
15.435293,0.870191,0.085341,-0.009106
15.465303,0.871044,0.088256,0.010091
15.495313,0.888251,0.180195,0.071363
15.535324,1.670870,0.363993,0.082054
15.565335,2.675637,0.541450,0.088633
15.605331,2.091913,0.323562,0.067972
15.625335,2.330697,0.338623,-0.006975
15.675368,3.549561,0.603421,-0.067656
15.715378,3.229216,0.545363,-0.209477
15.735385,2.646659,0.182128,-0.208364
15.775379,3.234720,0.570895,-0.132431
15.805412,2.622326,0.389276,-0.163089
15.835395,1.761374,0.370919,-0.137845
15.865432,2.590268,0.449223,-0.259854
15.905445,2.599545,0.548983,-0.153782
15.925452,2.330481,0.534543,-0.129903
15.975463,1.875335,0.323248,-0.051391
16.005457,1.461846,0.326435,-0.040116
16.035479,1.788556,0.236572,-0.770919
16.065478,2.096707,-0.005008,-0.918591
16.095507,0.841921,-0.151631,-0.500577
16.135508,0.436126,-0.238617,-0.091106
16.175534,0.044777,-0.096308,0.107806
16.205543,0.159919,0.001698,0.151227
16.235553,0.479946,0.094240,-0.087028
16.275543,0.690620,0.045172,-0.303568
16.305560,0.323402,-0.136571,-0.105302
